 ,Area,Mean,Min,Max
1,10,91.400,80,113
2,4,97.750,94,99
3,2,103.500,94,113
4,6,105.500,95,121
5,10,104.800,90,138
6,10,90.200,77,117
7,10,110.600,82,152
8,4,87.250,84,94
9,6,99.167,82,114
10,11,90.000,80,113
11,10,95.800,87,107
12,11,97.818,86,121
13,8,107.625,100,135
14,2,113.500,107,120
15,11,94.727,21,114
16,10,97.600,87,120
17,10,103.900,87,126
18,1,101.000,101,101
19,6,102.000,94,113
20,4,96.750,89,105
21,6,98.667,89,111
22,9,97.889,85,116
23,2,86.500,85,88
24,5,106.000,91,118
25,7,98.857,92,113
26,3,88.000,85,91
27,9,97.222,89,108
28,8,91.500,84,106
29,15,94.267,84,122
30,1,86.000,86,86
31,20,101.750,84,138
32,8,91.125,85,95
33,3,93.333,90,98
34,1,86.000,86,86
35,9,90.000,85,102
36,12,97.500,86,123
37,16,99.438,84,120
38,5,95.000,87,104
39,5,87.800,84,99
40,3,88.333,87,89
41,10,92.200,84,108
42,3,94.000,91,97
43,12,101.500,89,129
44,11,98.545,88,116
45,1,89.000,89,89
46,10,101.700,92,129
47,11,122.273,97,152
48,10,105.700,96,121
49,10,103.100,90,122
50,10,96.200,88,105
51,10,96.300,85,122
52,12,100.167,92,116
53,7,110.714,101,123
54,3,98.667,97,100
55,8,102.125,83,128
56,4,89.000,84,96
57,10,93.800,87,112
58,10,111.100,93,130
59,4,103.000,95,115
60,6,105.500,97,122
61,8,80.875,14,95
62,10,94.100,86,109
63,8,95.875,90,107
64,7,114.571,102,139
65,3,104.333,99,114
66,10,111.900,98,133
67,14,92.643,84,107
68,8,94.000,86,102
69,6,93.167,85,109
70,10,98.900,88,117
71,10,97.100,87,110
72,10,107.200,91,132
73,3,111.667,103,127
74,8,102.875,96,113
75,3,87.000,83,94
76,1,89.000,89,89
77,5,97.800,90,107
78,7,133.571,108,152
79,3,122.000,107,148
80,10,100.400,87,117
81,3,92.667,88,101
82,7,95.571,91,105
83,11,100.364,25,126
84,10,102.000,91,124
85,2,104.000,103,105
86,8,106.250,95,143
87,5,103.800,99,112
88,5,111.600,100,135
89,10,96.600,90,120
90,10,96.000,79,130
91,10,123.300,100,148
92,10,100.100,89,111
93,1,79.000,79,79
94,7,93.286,79,138
95,10,123.400,104,152
96,10,111.800,101,132
97,10,107.900,89,130
98,10,127.800,104,150
99,10,98.200,88,116
100,10,99.700,88,114
101,12,88.833,7,120
102,10,95.400,85,109
103,11,95.091,83,115
104,3,87.333,87,88
105,2,90.500,89,92
106,7,103.857,97,111
107,3,102.333,96,106
108,10,105.200,90,138
109,8,104.875,97,124
110,4,111.000,102,116
111,14,89.214,19,114
112,6,97.000,91,104
113,4,110.500,96,124
114,11,102.727,90,147
115,3,95.333,93,97
116,7,108.714,92,132
117,5,97.200,87,106
118,7,95.000,87,114
119,6,98.167,87,123
120,4,100.750,93,113
121,9,106.444,91,129
122,6,106.333,100,116
123,6,110.667,103,130
124,8,98.375,87,124
125,2,105.500,103,108
126,10,98.600,90,116
127,10,95.400,86,117
128,12,96.083,86,125
129,12,108.250,92,145
130,10,107.100,92,126
131,12,100.750,88,135
132,10,100.600,89,133
133,8,120.500,108,152
134,2,114.500,113,116
135,10,104.900,91,125
136,6,108.167,97,120
137,7,116.143,97,152
138,4,96.250,89,107
139,2,90.000,89,91
140,11,105.091,91,131
141,3,97.333,91,104
142,10,117.300,98,150
143,11,100.182,31,118
144,3,111.333,101,122
145,7,106.714,99,120
146,10,91.600,82,109
147,11,112.636,92,142
148,6,100.333,97,106
149,4,104.500,100,113
150,10,117.100,102,146
151,10,103.900,87,136
152,9,107.778,99,133
153,9,107.556,100,124
154,2,103.500,103,104
155,10,97.000,89,126
156,3,96.667,96,98
157,8,98.125,87,125
