 ,Area,Mean,Min,Max
1,9,98.333,94,104
2,5,98.200,93,106
3,3,94.000,93,95
4,10,96.200,91,105
5,15,97.067,90,112
6,2,96.000,94,98
7,9,100.333,94,107
8,10,109.200,102,126
9,6,92.000,88,97
10,16,87.688,18,102
11,11,85.636,20,98
12,7,93.429,87,101
13,7,93.429,88,98
14,7,91.714,89,95
15,4,92.250,90,96
16,17,98.941,90,108
17,7,92.000,89,97
18,4,91.750,89,93
19,20,93.400,87,104
20,2,92.500,91,94
21,6,91.167,87,97
22,3,92.333,90,94
23,4,90.000,88,92
24,11,83.182,18,97
25,9,90.444,86,100
26,11,95.545,91,99
27,13,97.308,92,103
28,14,95.357,91,102
29,13,91.538,24,104
30,9,94.667,91,99
31,13,92.000,19,106
32,3,96.333,94,101
33,7,98.286,93,111
34,7,103.000,98,110
35,4,98.500,97,101
36,7,102.571,98,115
37,19,102.158,25,123
38,2,99.000,98,100
39,10,93.500,86,106
40,13,99.000,95,110
41,1,105.000,105,105
42,5,109.400,103,119
43,4,104.500,102,109
44,4,106.500,105,108
45,8,111.000,105,120
46,7,109.571,107,113
47,5,108.400,106,112
48,12,107.000,37,126
49,15,104.467,98,119
50,10,105.700,101,114
51,11,111.455,106,123
52,12,106.833,103,116
53,10,110.400,104,121
54,10,109.600,104,119
55,9,108.333,103,120
56,3,103.667,103,105
57,5,108.000,103,119
58,3,114.333,111,116
59,7,115.714,110,127
60,11,107.545,103,111
61,8,105.625,103,110
62,7,106.857,103,113
63,7,109.714,105,115
64,15,106.533,101,122
65,1,112.000,112,112
66,3,109.333,105,112
67,10,114.600,107,125
68,11,104.091,101,114
69,15,108.933,102,131
70,5,105.400,101,108
71,5,105.000,103,107
72,8,108.125,104,117
73,2,107.500,105,110
74,10,113.500,109,121
75,10,100.300,95,111
76,10,110.600,104,120
77,3,102.667,99,107
78,10,101.700,98,107
79,10,122.400,106,140
80,11,112.545,107,118
81,14,107.000,35,123
82,2,107.500,106,109
83,11,110.818,106,120
84,10,105.400,103,111
85,10,109.700,104,118
86,10,112.700,105,136
87,10,125.900,118,135
88,3,106.333,104,109
89,7,110.143,103,121
90,20,105.500,36,123
91,4,107.250,105,109
92,4,103.000,99,110
93,10,111.200,100,129
94,10,112.000,109,117
95,10,99.700,93,106
96,14,101.286,26,124
97,10,117.400,109,129
98,10,108.900,102,125
99,3,108.000,105,111
100,7,116.714,105,130
101,12,112.500,44,134
102,9,115.667,109,126
103,6,112.833,109,116
104,9,116.222,110,122
105,12,112.333,109,117
106,10,120.700,115,126
107,12,112.083,102,127
108,8,100.000,38,113
109,4,110.000,107,114
110,12,111.250,106,120
111,4,110.500,107,119
112,7,114.571,110,124
113,6,113.833,111,119
114,13,96.077,90,114
115,1,92.000,92,92
116,4,92.750,91,94
117,25,95.960,90,108
118,5,94.000,91,99
119,10,115.000,108,127
120,11,111.182,105,125
121,2,110.000,107,113
122,8,110.500,105,116
123,2,106.000,106,106
124,7,111.429,105,127
125,3,111.667,108,119
126,10,113.400,107,124
127,9,105.444,100,112
128,11,103.727,100,113
129,3,112.333,108,115
130,7,115.714,110,122
131,11,107.636,99,122
132,4,113.500,110,119
133,6,111.833,110,113
134,10,110.900,103,117
135,12,109.833,107,114
136,12,110.083,103,121
137,11,102.182,30,118
138,10,108.900,103,118
139,12,106.500,104,112
140,13,102.615,33,118
141,10,109.700,104,117
142,10,123.000,117,131
143,3,90.333,89,93
144,8,97.875,90,116
145,1,87.000,87,87
146,8,120.500,113,133
147,2,119.000,118,120
148,7,144.571,139,151
149,3,134.000,132,136
150,10,116.300,109,122
151,3,114.000,112,116
152,8,102.250,97,110
153,2,101.000,101,101
154,11,115.273,109,135
155,10,116.300,110,127
156,5,110.000,105,120
157,7,116.143,107,127
158,2,107.000,106,108
159,14,101.714,38,122
160,15,87.600,84,94
161,29,87.655,16,104
162,5,86.200,84,88
163,15,98.200,83,111
164,18,93.111,86,114
165,7,86.857,83,92
166,2,87.000,86,88
167,4,84.750,83,88
168,18,91.389,84,100
169,1,85.000,85,85
170,7,87.000,83,90
171,12,119.250,114,130
172,11,112.182,105,123
173,11,98.091,31,110
174,2,105.500,105,106
175,1,106.000,106,106
176,8,111.625,105,125
177,2,107.000,107,107
178,12,99.333,29,113
179,10,114.000,109,133
180,14,107.714,41,118
181,3,111.333,108,115
182,7,114.000,109,121
183,10,117.800,112,125
184,8,116.000,109,130
185,3,112.667,110,116
186,1,118.000,118,118
187,3,94.000,92,96
188,7,92.429,89,96
189,11,112.455,107,121
190,17,94.471,25,103
191,3,96.000,94,97
192,16,94.000,87,103
193,10,115.100,105,124
194,10,111.600,107,119
195,16,111.750,108,118
196,5,110.400,108,115
197,6,112.167,107,123
198,10,111.800,107,118
199,10,108.900,101,121
200,10,120.300,112,129
201,10,91.800,26,116
202,11,108.364,104,123
203,3,109.667,107,112
204,11,106.182,98,115
205,8,109.875,102,125
206,2,108.500,102,115
207,2,102.500,102,103
208,9,109.222,102,117
209,12,111.417,108,123
210,11,124.545,113,144
211,10,116.900,112,127
212,10,115.300,109,127
213,10,120.800,107,151
214,12,105.833,101,118
215,11,93.182,25,110
216,11,103.727,94,119
217,3,96.667,95,98
218,18,100.000,27,113
219,7,101.429,96,103
220,3,97.333,96,99
221,14,108.000,37,119
222,9,119.333,110,133
223,2,115.500,114,117
224,9,114.000,109,125
225,2,117.500,115,120
226,11,112.818,108,123
227,16,96.812,92,105
228,7,112.143,109,114
229,4,116.250,113,124
230,4,114.250,111,117
231,10,121.000,110,131
232,10,105.200,99,111
233,10,114.400,108,126
234,10,112.900,105,126
235,11,118.636,106,139
236,10,115.400,111,122
237,10,120.000,113,130
238,11,115.000,109,125
239,10,113.700,107,123
240,13,114.615,111,120
241,10,99.200,88,116
242,10,112.600,108,120
243,18,106.500,34,122
244,14,104.643,37,118
245,12,105.167,38,117
246,9,113.333,108,122
247,10,108.300,37,122
248,6,112.500,108,117
249,11,119.727,108,134
250,10,113.100,108,121
251,9,101.778,31,118
252,2,108.500,105,112
253,10,110.700,107,120
254,8,114.500,109,120
255,2,111.000,110,112
256,21,108.286,102,119
257,21,108.286,102,119
258,10,111.600,107,116
259,12,102.500,98,110
260,10,113.800,109,124
261,14,102.714,33,116
262,14,112.500,108,120
263,10,109.600,104,119
264,10,110.200,104,120
265,10,110.200,104,120
266,10,107.400,101,119
267,13,109.308,103,118
268,10,118.200,112,127
269,20,111.200,104,127
270,20,111.200,104,127
271,11,104.727,38,123
272,15,110.000,106,118
273,15,110.000,106,118
274,10,103.800,97,114
275,14,104.000,35,127
276,11,109.545,44,128
277,11,109.545,44,128
278,17,110.941,108,121
279,17,110.941,108,121
280,33,110.212,105,123
281,33,110.212,105,123
282,33,110.212,105,123
283,12,113.750,108,134
284,12,113.750,108,134
285,12,102.750,98,115
286,11,113.545,107,126
287,11,113.545,107,126
288,12,109.583,105,116
289,10,108.100,102,119
290,11,106.818,33,125
291,11,106.818,33,125
292,31,99.484,95,108
293,31,99.484,95,108
294,11,113.545,110,123
295,11,103.000,98,107
296,11,103.000,98,107
297,10,113.600,109,118
298,10,112.300,108,125
299,15,93.800,31,111
300,15,93.800,31,111
301,10,118.800,110,135
302,10,109.900,102,132
303,10,105.500,100,115
304,10,124.600,110,137
305,13,114.538,109,124
306,13,114.538,109,124
307,12,109.333,105,114
308,12,109.333,105,114
309,11,115.091,107,126
310,10,92.200,86,105
311,11,108.909,104,128
312,10,121.300,110,138
313,10,110.400,104,123
314,29,97.828,25,121
315,29,97.828,25,121
316,29,97.828,25,121
317,29,97.828,25,121
318,10,115.300,110,123
319,10,108.900,105,117
320,10,108.900,105,117
321,24,110.417,106,118
322,24,110.417,106,118
323,10,104.900,99,120
324,19,91.737,88,100
325,19,91.737,88,100
326,10,104.700,98,122
327,10,104.500,97,116
328,11,103.182,37,113
329,12,109.417,104,115
330,11,104.909,37,122
331,18,108.611,103,115
332,18,108.611,103,115
333,15,101.600,98,108
334,10,109.000,100,122
335,10,124.700,121,137
336,10,107.700,104,118
337,11,105.727,101,109
338,11,105.364,101,115
339,49,93.694,27,111
340,49,93.694,27,111
341,49,93.694,27,111
342,49,93.694,27,111
343,32,102.375,25,115
344,32,102.375,25,115
345,32,102.375,25,115
346,10,101.200,95,117
347,12,94.083,26,110
348,12,94.083,26,110
349,17,109.118,104,121
350,17,109.118,104,121
351,33,101.091,23,116
352,33,101.091,23,116
353,33,101.091,23,116
354,33,101.091,23,116
355,33,101.091,23,116
356,10,105.300,101,119
357,10,105.300,101,119
358,10,105.100,101,115
359,10,105.100,101,115
360,14,105.500,101,111
361,14,105.500,101,111
362,14,105.500,101,111
363,11,114.182,108,135
364,11,114.182,108,135
365,11,97.091,89,111
366,11,97.091,89,111
367,10,103.400,99,116
368,13,106.462,103,111
369,13,106.462,103,111
370,16,122.688,118,130
371,16,122.688,118,130
372,10,106.500,102,120
373,38,100.158,24,121
374,38,100.158,24,121
375,38,100.158,24,121
376,38,100.158,24,121
377,25,130.960,57,145
378,25,130.960,57,145
379,11,97.182,28,111
380,11,97.182,28,111
381,13,109.231,103,116
382,10,105.200,99,112
383,10,111.200,104,129
384,14,106.714,38,118
385,14,106.714,38,118
386,14,106.714,38,118
387,23,107.652,103,117
388,23,107.652,103,117
389,12,106.667,104,114
390,11,108.455,103,117
391,10,151.800,151,152
392,10,151.800,151,152
393,10,93.100,88,99
394,10,115.100,109,122
395,12,104.833,100,113
396,10,106.300,101,116
397,11,103.818,97,111
398,16,99.375,93,111
399,12,137.000,68,147
400,13,126.385,57,137
401,32,100.031,95,110
402,32,100.031,95,110
403,32,100.031,95,110
404,108,79.296,11,101
405,108,79.296,11,101
406,108,79.296,11,101
407,108,79.296,11,101
408,108,79.296,11,101
409,108,79.296,11,101
410,108,79.296,11,101
411,108,79.296,11,101
412,108,79.296,11,101
413,108,79.296,11,101
414,10,143.200,138,149
415,10,143.200,138,149
