 ,Area,Mean,Min,Max
1,11,89.364,84,95
2,8,90.375,84,94
3,3,81.333,80,83
4,3,83.000,83,83
5,6,83.167,79,86
6,12,84.833,79,93
7,5,82.800,79,89
8,3,81.333,80,82
9,12,84.250,18,94
10,15,92.200,86,103
11,5,82.800,82,83
12,9,85.444,80,92
13,3,97.000,96,98
14,7,108.571,100,121
15,11,84.727,80,93
16,9,88.556,83,93
17,9,89.222,84,95
18,11,86.545,19,99
19,3,90.333,87,93
20,7,86.714,83,89
21,15,92.333,86,103
22,8,90.875,87,94
23,4,88.000,86,91
24,5,95.600,91,102
25,11,93.455,91,99
26,11,86.909,18,100
27,10,95.800,89,111
28,9,89.444,85,97
29,4,92.750,87,104
30,13,79.692,9,94
31,4,85.250,82,89
32,7,84.571,81,94
33,10,91.100,85,98
34,10,99.000,88,121
35,15,86.333,82,95
36,11,84.000,78,97
37,8,81.750,79,86
38,6,102.167,94,110
39,4,96.000,94,99
40,5,86.200,84,91
41,6,91.833,85,105
42,3,88.333,87,89
43,10,86.800,83,96
44,13,82.000,12,95
45,10,106.900,101,114
46,2,85.000,84,86
47,7,89.429,85,94
48,6,87.500,83,97
49,11,111.455,103,125
50,10,93.700,89,103
51,10,124.600,115,138
52,12,96.833,94,110
53,15,88.400,83,98
54,10,116.600,98,138
55,10,84.600,81,88
56,11,95.636,89,109
57,7,92.000,87,100
58,3,91.333,87,100
59,8,100.125,92,128
60,13,100.692,92,121
61,11,91.000,87,99
62,9,87.778,83,94
63,6,87.000,84,92
64,10,104.100,96,119
65,5,118.000,111,130
66,6,114.833,108,127
67,11,96.364,90,113
68,12,90.250,85,101
69,9,96.444,90,108
70,2,91.000,90,92
71,10,101.800,92,129
72,13,95.615,88,111
73,15,82.067,10,103
74,3,100.667,96,105
75,7,112.143,100,141
76,12,92.000,27,111
77,1,83.000,83,83
78,8,94.125,83,109
79,4,82.250,81,83
80,6,83.833,80,90
81,10,106.900,89,138
82,11,83.727,79,93
83,4,82.250,79,86
84,11,83.091,12,95
85,7,105.286,95,113
86,17,102.765,26,127
87,4,107.500,101,117
88,10,96.200,91,106
89,11,88.273,18,103
90,7,98.429,92,111
